name,job,movie_count,gender,popularity,profile_path,order
Mae West,Writer,2,Female,3.49,https://image.tmdb.org/t/p/original/xtlUd8VnOor4OuA8dexgDG9JlIP.jpg,1137
Jim Kouf,Screenplay,2,Male,3.475,https://image.tmdb.org/t/p/original/nNFrSM8DICtVHUBZlZ3tDLlawqY.jpg,1138
Robert Benton,Screenplay,2,Male,3.47,https://image.tmdb.org/t/p/original/309zHbAHOXv1PffWz4C9SEEgEGa.jpg,1139
James Schamus,Screenplay,2,Male,3.465,https://image.tmdb.org/t/p/original/z4IC4dVumm1VfwJlgUMFe0ZnwGh.jpg,1140
Jon Vitti,Screenplay,2,Male,3.463,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1141
John Fusco,Writer,2,Male,3.446,https://image.tmdb.org/t/p/original/kjV1bBKRzp64Jpaej18OJrjqv84.jpg,1142
George Axelrod,Screenplay,2,Male,3.389,https://image.tmdb.org/t/p/original/8WXlbXdMmk6fVB5EgqkSV5001Te.jpg,1143
Abi Morgan,Screenplay,2,Female,3.367,https://image.tmdb.org/t/p/original/hLoVbisHf4lhYu0FfJgXwgopfrI.jpg,1144
Sam Liu,Director,2,Male,3.366,https://image.tmdb.org/t/p/original/3u01dPeS4Us9sUFzwS8DzjA3udr.jpg,1145
Nicholas Sparks,Novel,2,Male,3.354,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1146
David N. Weiss,Screenplay,2,Male,3.337,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1147
Marshall Herskovitz,Screenplay,2,Male,3.322,https://image.tmdb.org/t/p/original/cfvp1rGCUiAUldqNoxTmjxxxipi.jpg,1148
Conrad L. Hall,Director of Photography,2,Male,3.32,https://image.tmdb.org/t/p/original/fGWnmu9EAYqX974sP0ddkOjgVEy.jpg,1149
